symbol,start_date,end_value,sharpe_ratio
FILUSDT,2023-12-31,915.5974102413184,-2.784525108638598
GRTUSDT,2024-01-01,790.3190013869626,-3.0406740812908795
MKRUSDT,2024-01-02,1064.6753955264594,2.1502965624689265
ENSUSDT,2024-01-03,1199.4089834515366,2.0713651310802463
TIAUSDT,2024-01-04,1070.2250631313132,1.5684406194912506
SUIUSDT,2024-01-05,1325.8620689655172,3.5407262598800298
LDOUSDT,2024-01-06,953.9929441949969,-1.0062618004049264
SHIBUSDT,2024-01-07,1027.5028506271378,0.7374709227342956
OMUSDT,2024-01-08,1712.3303834808257,5.213800158606004
BONKUSDT,2024-01-09,727.9076086956521,-3.5680176501864884
ENSUSDT,2024-01-10,1080.8591625883632,1.3317801122090642
XTZUSDT,2024-01-11,1000.418994413408,0.06650384075110295
RUNEUSDT,2024-01-12,1077.2907488986784,2.5448489329769
TIAUSDT,2024-01-13,1040.120572518059,1.1424450994730997
VETUSDT,2024-01-14,1058.4540249242168,2.9440622663052416
BNBUSDT,2024-01-15,1039.2156862745098,2.994990376635082
OMUSDT,2024-01-16,3365.4929577464786,5.882097825881651
RAYUSDT,2024-01-17,850.6695350241546,-1.8623047892016253
FETUSDT,2024-01-18,1207.138671875,2.837804058853931
TIAUSDT,2024-01-19,1066.704148366165,1.1835374463507846
FLOKIUSDT,2024-01-20,1070.5969249321677,1.7151211397406847
OMUSDT,2024-01-21,1572.1450304259636,3.6210846203073084
TIAUSDT,2024-01-22,1082.9804694125169,1.43914360698399
APTUSDT,2024-01-23,1033.063502006914,0.8633591236691229
MKRUSDT,2024-01-24,971.4333175130516,-1.0232914798510606
OMUSDT,2024-01-25,1559.97400259974,3.689632576876532
NEARUSDT,2024-01-26,1182.3095238095239,2.63570972779904
APTUSDT,2024-01-27,1110.238509480917,2.4306292391576747
RAYUSDT,2024-01-28,805.1572568272476,-2.954340521762884
SUIUSDT,2024-01-29,1026.2567121692437,0.8389549051072811
RUNEUSDT,2024-01-30,1202.9210357372137,3.4441653684643505
OMUSDT,2024-01-31,1646.5439017880972,4.237975189566393
LINKUSDT,2024-02-01,1002.080203332392,1.4261954844317757
ICPUSDT,2024-02-02,997.400357392588,0.12367886230673428
OMUSDT,2024-02-03,1515.6921086675293,4.066827300134711
OMUSDT,2024-02-04,1391.2876532920586,3.4250760676532774
ENSUSDT,2024-02-05,1206.3830845771145,2.7004079484579084
XMRUSDT,2024-02-06,1001.3276026743076,1.1934100204921927
STXUSDT,2024-02-07,1006.9402538314176,3.7005265978776145
OMUSDT,2024-02-08,1181.012658227848,4.595006614265993
BONKUSDT,2024-02-09,2122.7383676582767,4.665488063073917
IMXUSDT,2024-02-10,1280.0694065918094,3.6442155489114088
BCHUSDT,2024-02-11,1478.7260224393776,2.789675843407241
IMXUSDT,2024-02-12,1091.345050941232,3.550876952107151
ARUSDT,2024-02-13,1031.5074355408153,5.935914681086775
PEPEUSDT,2024-02-14,6228.749999999999,7.783603963366136
VETUSDT,2024-02-15,945.3245594467991,-0.5303433494814462
WLDUSDT,2024-02-16,1971.2238398544132,3.674567969477263
FILUSDT,2024-02-17,1004.3835171966256,1.5681436707823124
GRTUSDT,2024-02-18,1337.3457943925234,2.5679010444966845
HBARUSDT,2024-02-19,1026.9062784349408,0.6371303137885129
JASMYUSDT,2024-02-20,1135.6251682972804,2.745397108090189
